paipai.com,106.39.169.133
alipay.com,110.75.139.5
softonic.com,35.190.13.197
nifty.com,222.158.213.148
imageshack.us,208.94.3.18
cnn.com,151.101.1.67
tianya.cn,124.225.65.154
mywebsearch.com,34.102.244.163
zynga.com,13.33.42.79
partypoker.com,195.72.135.91
hp.com,15.73.192.108
walmart.com,161.170.230.170
kugou.com,183.131.48.92
ebay.de,66.135.196.249
youdao.com,103.72.47.249
hotfile.com,18.207.9.28
qiyi.com,111.206.13.66
pconline.com.cn,219.136.244.85
odnoklassniki.ru,5.61.23.11
jp.msn.com,13.88.15.24
hotmail.com,204.79.197.212
360.cn,36.110.213.10
craigslist.org,208.82.237.129
weather.com,104.106.18.227
soku.com,106.11.186.1
alibaba.com,198.11.136.127
megaupload.com,
renren.com,120.133.2.241
livedoor.jp,203.104.153.16
blogger.com,172.217.1.201
vkontakte.ru,87.240.190.78
answers.com,151.101.128.203
rapidshare.com,0.0.0.0
daum.net,203.133.167.81
7k7k.com,106.75.22.155
2345.com,42.62.30.180
photobucket.com,209.17.68.100
mediafire.com,104.16.203.237
ehow.com,96.17.122.133
seesaa.net,59.106.98.142
ifeng.com,123.103.122.24
goo.ne.jp,153.254.147.65
bbc.co.uk,151.101.128.81
yandex.ru,5.255.255.55
myspace.com,63.135.90.70
mail.ru,217.69.139.202
cnet.com,35.190.79.82
go.com,23.236.60.174
4399.com,118.184.184.70
orkut.com,216.239.38.21
skype.com,40.121.80.200
ameblo.jp,151.101.1.83
naver.com,210.89.164.90
flickr.com,143.204.30.100
4shared.com,204.155.149.42
amazon.co.jp,52.119.168.48
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
imdb.com,52.94.228.167
aol.com,188.125.72.165
amazon.com,176.32.98.166
wordpress.com,192.0.78.9
tudou.com,106.11.47.20
yahoo.co.jp,182.22.59.229
sohu.com,211.159.191.18
apple.com,17.172.224.47
hao123.com,202.106.2.86
windows.com,40.112.72.205
ebay.com,66.135.195.175
pps.tv,116.211.199.232
xunlei.com,112.124.227.84
56.com,183.6.206.243
fc2.com,34.210.113.146
paypal.com,64.4.250.37
sogou.com,118.191.216.57
tmall.com,140.205.130.99
ku6.com,117.50.1.222
rakuten.co.jp,133.237.16.234
about.com,151.101.66.114
orkut.com.br,132.148.40.250
facebook.com,157.240.28.35
youtube.com,172.217.11.238
yahoo.com,98.137.246.8
live.com,204.79.197.212
wikipedia.org,208.80.153.224
msn.com,13.82.28.61
baidu.com,220.181.38.148
blogspot.com,172.217.1.201
microsoft.com,40.76.4.15
qq.com,125.39.52.26
taobao.com,140.205.220.96
bing.com,204.79.197.200
sina.com.cn,123.126.157.222
soso.com,118.191.216.57
163.com,123.58.180.7
ask.com,151.101.70.114
adobe.com,192.147.130.204
twitter.com,104.244.42.65
mozilla.com,63.245.208.194
youku.com,106.11.47.19
sdjjdsaf.com,
andysayler.com,138.197.228.157
wmfo.org,23.92.21.128
